# WMS (倉庫管理システム) / 出荷実績RAW抽出
# 出力日時: 2026/02/11 09:20:15 JST
# 出力者: WHS001 橋本 明（倉庫課長）
# 抽出条件: 監査依頼IA-REQ-2026-002 指定の25件出荷番号
# 抽出件数: 25件 / 当ファイルはFY2025全出荷3,158件のうち監査対象25件のみ
#
# 【監査人注】各行は監査人が選定したサンプルの原RAWデータ。
# 以下の行それぞれについて、SAP売上計上仕訳RAW・マッチングログRAWとの突合可能。

サンプル№,出荷番号,出荷日時,出荷区分,受注番号,顧客コード,顧客名,製品コード,製品名,出荷数量,出荷金額,出荷倉庫,出荷担当者ID,WMSレコード更新TS
1,SH-202504-0147,2025-04-08 15:13:00,通常出荷,ORD-2025-0927,C-10006,サンプル顧客F社,P-30006,トランスミッションシャフト,300,3750000,本社倉庫B,MFG002,2025-04-08 15:16:00
2,SH-202504-0028,2025-04-23 12:26:00,通常出荷,ORD-2025-0918,C-10023,サンプル顧客R社,P-30006,トランスミッションシャフト,50,625000,東北工場倉庫,WHS001,2025-04-23 12:29:00
3,SH-202505-0178,2025-05-12 09:39:00,通常出荷,ORD-2025-1099,C-10014,サンプル顧客K社,P-30001,エンジンピストンピン A型,100,420000,本社倉庫A,WHS001,2025-05-12 09:42:00
4,SH-202505-0172,2025-05-27 16:52:00,通常出荷,ORD-2025-3010,C-10004,サンプル顧客D社,P-30014,エッチング装置チャンバ部品,1000,38500000,本社倉庫B,MFG002,2025-05-27 16:55:00
5,SH-202506-0180,2025-06-10 13:05:00,通常出荷,ORD-2025-1211,C-10003,サンプル顧客C社,P-30006,トランスミッションシャフト,1500,18750000,東北工場倉庫,WHS001,2025-06-10 13:08:00
6,SH-202506-0125,2025-06-25 10:18:00,通常出荷,ORD-2025-0943,C-10001,サンプル顧客A社,P-30006,トランスミッションシャフト,200,2500000,本社倉庫A,WHS001,2025-06-25 10:21:00
7,SH-202507-0240,2025-07-09 17:31:00,通常出荷,ORD-2025-0651,C-10004,サンプル顧客D社,P-30006,トランスミッションシャフト,300,3750000,本社倉庫B,MFG002,2025-07-09 17:34:00
8,SH-202507-0032,2025-07-24 14:44:00,通常出荷,ORD-2025-2794,C-10004,サンプル顧客D社,P-30015,ウェハーチャックベース,200,2560000,東北工場倉庫,WHS001,2025-07-24 14:47:00
9,SH-202508-0197,2025-08-11 11:57:00,通常出荷,ORD-2025-0989,C-10012,サンプル顧客I社,P-30006,トランスミッションシャフト,300,3750000,本社倉庫A,WHS001,2025-08-11 12:00:00
10,SH-202508-0175,2025-08-26 08:10:00,通常出荷,ORD-2025-1634,C-10001,サンプル顧客A社,P-30027,ロボットアーム外装パネル A,100,420000,本社倉庫B,MFG002,2025-08-26 08:13:00
11,SH-202509-0089,2025-09-13 15:23:00,通常出荷,ORD-2025-0494,C-10005,サンプル顧客E社,P-30014,エッチング装置チャンバ部品,300,11550000,東北工場倉庫,WHS001,2025-09-13 15:26:00
12,SH-202509-0185,2025-09-28 12:36:00,通常出荷,ORD-2025-3032,C-10005,サンプル顧客E社,P-30015,ウェハーチャックベース,1000,12800000,本社倉庫A,WHS001,2025-09-28 12:39:00
13,SH-202510-0191,2025-10-14 09:49:00,通常出荷,ORD-2025-1488,C-10004,サンプル顧客D社,P-30006,トランスミッションシャフト,800,10000000,本社倉庫B,MFG002,2025-10-14 09:52:00
14,SH-202510-0068,2025-10-29 16:02:00,通常出荷,ORD-2025-0582,C-10002,サンプル顧客B社,P-30015,ウェハーチャックベース,200,2560000,東北工場倉庫,WHS001,2025-10-29 16:05:00
15,SH-202511-0078,2025-11-06 13:15:00,通常出荷,ORD-2025-2208,C-10011,サンプル顧客H社,P-30022,サスペンションアーム A型,300,384000,本社倉庫A,WHS001,2025-11-06 13:18:00
16,SH-202511-0234,2025-11-17 10:28:00,通常出荷,ORD-2025-2468,C-10003,サンプル顧客C社,P-30027,ロボットアーム外装パネル A,50,12850000,本社倉庫B,MFG002,2025-11-17 10:31:00
17,SH-202511-0021,2025-11-28 17:41:00,通常出荷,ORD-2025-0883,C-10005,サンプル顧客E社,P-30011,ウェハー搬送ロボット用シャフト A,200,3700000,東北工場倉庫,WHS001,2025-11-28 17:44:00
18,SH-202512-0065,2025-12-12 14:54:00,通常出荷,ORD-2025-1754,C-10003,サンプル顧客C社,P-30006,トランスミッションシャフト,200,2500000,本社倉庫A,WHS001,2025-12-12 14:57:00
19,SH-202512-0059,2025-12-24 11:07:00,通常出荷,ORD-2025-2981,C-10005,サンプル顧客E社,P-30001,エンジンピストンピン A型,300,1260000,本社倉庫B,MFG002,2025-12-24 11:10:00
20,SH-202601-0110,2026-01-14 08:20:00,通常出荷,ORD-2025-0714,C-10001,サンプル顧客A社,P-30022,サスペンションアーム A型,50,64000,東北工場倉庫,WHS001,2026-01-14 08:23:00
21,SH-202601-0275,2026-01-29 15:33:00,通常出荷,ORD-2025-0603,C-10002,サンプル顧客B社,P-30014,エッチング装置チャンバ部品,800,30800000,本社倉庫A,WHS001,2026-01-29 15:36:00
22,SH-202602-0215,2026-02-10 12:46:00,通常出荷,ORD-2025-2674,C-10001,サンプル顧客A社,P-30022,サスペンションアーム A型,200,256000,本社倉庫B,MFG002,2026-02-10 12:49:00
23,SH-202602-0152,2026-02-25 09:59:00,通常出荷,ORD-2025-2646,C-10015,サンプル顧客L社,P-30011,ウェハー搬送ロボット用シャフト A,800,14800000,東北工場倉庫,WHS001,2026-02-25 10:02:00
24,SH-202603-0069,2026-03-10 16:12:00,通常出荷,ORD-2025-2360,C-10022,サンプル顧客Q社,P-30020,検査装置ステージベース,100,4250000,本社倉庫A,WHS001,2026-03-10 16:15:00
25,SH-202603-0049,2026-03-24 13:25:00,通常出荷,ORD-2025-0939,C-10012,サンプル顧客I社,P-30022,サスペンションアーム A型,200,256000,本社倉庫B,MFG002,2026-03-24 13:28:00

# 出力終了 / レコード数: 25 / CRC32: (WMS側で自動付与)
# 本CSVはWMS管理画面 Tools > Data Export から生成
