# Consolidation System S05 - バリデーションエラー差異往復ログ
# Control: FCRP-002 子会社連結パッケージの受領・差異解消
# Export: 2026-04-20 10:30:00 JST

四半期,子会社コード,子会社名,初回アップロード日時,エラー件数,エラー内容,往復日時,往復当事者,区分,メッセージ
Q1,TP-LOG,TP物流サービス,2025-07-08 10:00:00,1,内部取引売掛金バランス差異 ¥125,000,2025-07-08 10:15:00,経理部課長→TP物流 藤本,送信,バリデーションエラー: 内部取引売掛金125,000円差異。確認願います。
Q1,TP-LOG,TP物流サービス,2025-07-08 10:00:00,1,内部取引売掛金バランス差異 ¥125,000,2025-07-08 11:30:00,TP物流 藤本→経理部課長,返信,IC-2025-Q1-018の請求書消込漏れでした。修正後再送します。
Q1,TP-LOG,TP物流サービス,2025-07-08 10:00:00,1,内部取引売掛金バランス差異 ¥125,000,2025-07-08 14:40:00,TP物流→S05,再送,修正パッケージ再アップロード
Q1,TP-LOG,TP物流サービス,2025-07-08 10:00:00,1,内部取引売掛金バランス差異 ¥125,000,2025-07-08 15:00:00,経理部課長,確認,再アップロード承認 - PASS
Q1,TPTR,TPトレーディング,2025-07-08 13:00:00,1,為替レート不一致 (TPT向け子会社間取引),2025-07-08 13:20:00,経理部課長→TPTR 後藤,送信,タイバーツ換算レートがグループ規定と不一致。確認願います。
Q1,TPTR,TPトレーディング,2025-07-08 13:00:00,1,為替レート不一致 (TPT向け子会社間取引),2025-07-08 14:50:00,TPTR 後藤→経理部課長,返信,ご指摘ありがとうございます。4.05円/THBに修正し再送します。
Q1,TPTR,TPトレーディング,2025-07-08 13:00:00,1,為替レート不一致 (TPT向け子会社間取引),2025-07-08 16:20:00,TPTR→S05,再送,為替レート修正版を再アップロード
Q1,TPTR,TPトレーディング,2025-07-08 13:00:00,1,為替レート不一致 (TPT向け子会社間取引),2025-07-08 16:40:00,経理部課長,確認,レート整合確認 - PASS
Q2,TP-TB,テクノプレシジョン東北,2025-10-08 09:00:00,2,勘定科目マスタ不整合 (新規勘定) / 内部利益消去額算定誤り,2025-10-08 09:30:00,経理部課長→TP-TB 大橋,送信,2件エラー: 勘定科目2211未登録 + 内部利益消去の計算方式ズレ。
Q2,TP-TB,テクノプレシジョン東北,2025-10-08 09:00:00,2,勘定科目マスタ不整合 (新規勘定) / 内部利益消去額算定誤り,2025-10-08 11:20:00,TP-TB 大橋→経理部課長,返信,1件目は科目マスタ連携不具合(情シス連絡済)。2件目は計算式を原価率ベースに修正。
Q2,TP-TB,テクノプレシジョン東北,2025-10-08 09:00:00,2,勘定科目マスタ不整合 (新規勘定) / 内部利益消去額算定誤り,2025-10-08 13:40:00,経理部課長→TP-TB,再送依頼,両件修正の上、再送願います。
Q2,TP-TB,テクノプレシジョン東北,2025-10-08 09:00:00,2,勘定科目マスタ不整合 (新規勘定) / 内部利益消去額算定誤り,2025-10-08 15:30:00,TP-TB→S05,再送,2件修正版再アップロード
Q2,TP-TB,テクノプレシジョン東北,2025-10-08 09:00:00,2,勘定科目マスタ不整合 (新規勘定) / 内部利益消去額算定誤り,2025-10-08 15:55:00,経理部課長,確認,修正確認 - PASS
Q2,TP-LOG,TP物流サービス,2025-10-08 09:00:00,1,期首残高引継エラー (Q1末残高不一致),2025-10-08 09:45:00,経理部課長→TP物流 藤本,送信,Q1末繰越残高 vs Q2期首残高の不一致あり。確認願います。
Q2,TP-LOG,TP物流サービス,2025-10-08 09:00:00,1,期首残高引継エラー (Q1末残高不一致),2025-10-08 11:00:00,TP物流 藤本→経理部課長,返信,S05側繰越処理が本社で未実行でした。本社情シス経由で修正中。
Q2,TP-LOG,TP物流サービス,2025-10-08 09:00:00,1,期首残高引継エラー (Q1末残高不一致),2025-10-08 13:30:00,経理部課長,本社情シスに依頼,S05繰越処理バッチ再実行依頼済
Q2,TP-LOG,TP物流サービス,2025-10-08 09:00:00,1,期首残高引継エラー (Q1末残高不一致),2025-10-08 14:30:00,情シス,完了通知,繰越処理完了
Q2,TP-LOG,TP物流サービス,2025-10-08 09:00:00,1,期首残高引継エラー (Q1末残高不一致),2025-10-08 15:20:00,TP物流→S05,再送,パッケージ再アップロード
Q2,TP-LOG,TP物流サービス,2025-10-08 09:00:00,1,期首残高引継エラー (Q1末残高不一致),2025-10-08 15:35:00,経理部課長,確認,整合確認 - PASS
Q3,TP-TB,テクノプレシジョン東北,2026-01-08 15:00:00,1,固定資産除却仕訳の科目誤り,2026-01-08 15:20:00,経理部課長→TP-TB 大橋,送信,12月除却仕訳の科目が誤り(特別損失→営業外費用)。確認願います。
Q3,TP-TB,テクノプレシジョン東北,2026-01-08 15:00:00,1,固定資産除却仕訳の科目誤り,2026-01-08 16:40:00,TP-TB 大橋→経理部課長,返信,判断誤りです。特別損失に修正します。
Q3,TP-TB,テクノプレシジョン東北,2026-01-08 15:00:00,1,固定資産除却仕訳の科目誤り,2026-01-08 17:40:00,TP-TB→S05,再送,科目修正の上再アップロード
Q3,TP-TB,テクノプレシジョン東北,2026-01-08 15:00:00,1,固定資産除却仕訳の科目誤り,2026-01-08 17:55:00,経理部課長,確認,PASS

# Records: 5 corrections resolved
