"key","procedure","control","risk","sample_num"
"ITGC-AC-001","SAP SU01ユーザ作成履歴から25件を抽出し、各登録のワークフロー承認履歴・申請書原本を突合する。SoDチェック結果を確認する。","新規ユーザ登録は、所属部門長の申請→情シス部アプリチームリーダー（E0053）承認→情シス部担当（E0054）の登録という3段階プロセスをワークフロー（S04）で実施。ロール付与はSoDマトリクスに基づき判定される。","承認なしでのユーザ登録による職務分掌違反・不正アクセス。","25"
"ITGC-AC-002","SAP SUIMアクティブユーザ一覧を4四半期分取得し、各四半期に棚卸が実施されアクセス権の見直しが行われたことを確認する。","情シス部が四半期ごとにSAPユーザ権限一覧（SUIMレポート）を出力し、各部門長に配布。部門長が必要性を確認し、不要権限の削除を申請する。情シス部長（E0051）が棚卸完了を承認する。","退職・異動後の不要権限の放置による職務分掌違反・不正アクセスの温床。","4"
"ITGC-AC-003","退職者5名（全数）のSAP SM20ログインログを閲覧し、退職日以降のログインがないことを確認する。停止処理の適時性を検証する。","人事部（E0061）が退職決定時に、退職日の3営業日前までに情シス部（E0054）へアカウント停止依頼を送付。情シス部が退職日当日にSAPユーザをロックし、90日後に削除する。","退職者のアカウントが停止されず、不正アクセス・情報漏洩が発生するリスク。","5"
"ITGC-AC-004","SAP SM20特権IDの操作ログを12ヶ月分閲覧し、不正な操作がないことを確認する。","特権ID（BASIS等）の使用は申請・承認制とし、全操作ログを情シス部長（E0051）が月次レビュー。特権ID保有者は情シス部2名（E0051/E0052）に限定する。","特権IDの濫用によるシステム改竄・データ漏洩。","12"
"ITGC-CM-001","変更管理台帳から25件を抽出し、各変更の申請書原本・承認記録を検証する。","SAPのプログラム変更は、変更申請書（REL番号）をワークフロー（S04）で起票し、情シス部アプリチームリーダー（E0053）と業務部門責任者の両方の承認を得る。承認なしでの開発・移送は禁止。","未承認のプログラム変更による計算誤り・データ破壊。","25"
"ITGC-CM-002","25件の変更に対応するUATテスト結果（個別Excel）およびXrayテスト実行履歴を閲覧し、テストケースが実施・合格していることを検証する。","変更のリリース前に、開発環境→テスト環境での単体テスト・結合テスト・UAT（ユーザ受入テスト）の3段階テストを実施し、ユーザ部門の合格署名を得る。緊急変更時は別途緊急変更手順に従う。","テスト不備のあるプログラムの本番リリースによる業務停止・データ不整合。","25"
"ITGC-CM-003","SAP STMS本番移送履歴から25件を抽出し、各移送が承認済みの変更申請に紐づいていることを検証する。","本番移送（Transport）の実行権限は情シス部アプリチームリーダー（E0053）のみに付与し、移送実行時は変更申請書の承認を確認する。移送ログはSAP STMSで保持。","不正な本番移送による計算誤り・データ改竄。","25"
"ITGC-EM-001","外部委託先2社のSOC1 Type IIレポート原本を閲覧し、統制目標の有効性評価結果および例外事項を確認する。","重要な外部委託先（ERP保守SIer A社、インフラ保守B社）について、年1回SOC1レポート（SSAE18）を入手し、情シス部長（E0051）がコントロール有効性を評価。課題発見時は委託先と改善計画を協議する。","外部委託先の内部統制不備に起因するデータ漏洩・品質不良。","2"
"ITGC-OM-001","SAP DB13バックアップログから25日分を抽出し、各コンポーネント（DATA/LOG/CATALOG）のバックアップが正常完了していることを検証する。DRテスト報告書でリストア可能性を確認する。","毎日深夜1:00にSAP HANAのフルバックアップを実施（テープ＋クラウド二重化）。情シス部インフラチーム（E0052）が翌朝ジョブ実行ログを確認し、異常時はエスカレーション。四半期に1回復旧テストを実施。","データ喪失時の復旧不能、業務停止の長期化。","25"
"ITGC-OM-002","Zabbixインシデントログ（全18件）のタイムラインを検証し、検知→通知→対応→解決→クローズの各フェーズが適切に記録されていることを確認する。","監視ツール（Zabbix相当）がサーバ・DB・アプリの異常を検知すると、情シス部インフラチーム（E0052）にアラート。障害は障害管理台帳に記録し、原因究明・再発防止策を情シス部長（E0051）がレビューする。","システム障害の未検知・対応遅延による業務停止・データ不整合。","18"
