会議体,開催日,対象期間,主な財務報告内部統制議題,出席状況,決議/指示,関連ELC
取締役会,2025-04-15,FY2025計画,内部統制基本方針、J-SOX評価計画、内部監査計画の承認,取締役7/7、監査等委員4/4,FY2025評価計画を承認,"ELC-001, ELC-010"
監査等委員会,2025-05-22,Q1,外部監査人監査計画、内部監査室独立性、重点監査領域,委員4/4,販売・購買・ITGCを重点領域に指定,"ELC-001, ELC-010"
取締役会,2025-06-30,Q1,全社リスクアセスメント結果、J-SOX評価範囲,取締役7/7、監査等委員4/4,評価範囲とキー統制を承認,"ELC-001, ELC-004"
財務報告連絡会,2025-07-18,Q1,会計上の見積り、四半期開示、子会社報告パッケージ,経理/経企/内部監査/子会社経理,見積り根拠資料の添付標準を改訂,"ELC-007, ELC-009"
取締役会,2025-09-25,上期,上期決算、リスク管理規程改訂、内部監査進捗,取締役7/7、監査等委員4/4,R05改訂を承認、監査頻度見直しを次年度反映,"ELC-001, ELC-004"
監査等委員会,2025-10-24,Q2,内部通報1件の調査結果、内部監査中間報告,委員4/4,財務報告影響なし、接待規程の周知強化,"ELC-001, ELC-008"
財務報告連絡会,2025-12-12,Q3,年末決算体制、開示スケジュール、ITGC進捗,経理/経企/情シス/内部監査,退職者アカウント停止遅延の是正状況をCFOへ報告,"ELC-009, ELC-011, ELC-012"
取締役会,2026-01-28,Q3,Q3決算、内部統制不備評価の中間報告,取締役7/7、監査等委員4/4,重要な不備候補を監査等委員会へ継続報告,"ELC-001, ELC-011"
監査等委員会,2026-02-20,年度末前,内部統制不備・判断保留事項、外部監査人コミュニケーション,委員4/4,追加Evidence取得期限を2026-03-15に設定,"ELC-001, ELC-011"
財務報告連絡会,2026-03-18,年度末,年度末決算、見積り、開示、連結パッケージ、SOC1/CUEC,経理/経企/情シス/内部監査/子会社経理,未完了タスクを期末締めチェックリストへ反映,"ELC-007, ELC-009, ELC-012"
取締役会,2026-03-25,FY2025総括,内部統制評価結果、是正措置、内部統制報告書ドラフト,取締役7/7、監査等委員4/4,内部統制報告書ドラフトをレビュー、是正計画を承認,"ELC-001, ELC-011"
