# WMS (倉庫管理システム) / 出荷実績レポート
# 出力日時: 2025/12/01 07:32:11 / 出力者: WHS001 橋本 明
# 対象期間: 2025/11/01 - 2025/11/30

出荷番号,出荷日時,出荷区分,受注番号,顧客コード,顧客名,製品コード,出荷数量,出荷金額,出荷倉庫,出荷担当
SH-202511-0001,2025-11-04 12:25:00,通常出荷,ORD-2025-0213,C-10024,サンプル顧客S社,P-30006,7,87500,本社倉庫B,MFG002
SH-202511-0002,2025-11-10 13:07:00,通常出荷,ORD-2025-0226,C-10003,サンプル顧客C社,P-30020,491,20867500,本社倉庫B,MFG002
SH-202511-0003,2025-11-04 09:28:00,通常出荷,ORD-2025-0239,C-10002,サンプル顧客B社,P-30006,488,6100000,本社倉庫B,WHS001
SH-202511-0004,2025-11-19 10:56:00,通常出荷,ORD-2025-0252,C-10003,サンプル顧客C社,P-30020,423,17977500,本社倉庫A,MFG002
SH-202511-0005,2025-11-26 09:59:00,通常出荷,ORD-2025-0265,C-10016,サンプル顧客M社,P-30011,26,481000,本社倉庫B,WHS001
SH-202511-0006,2025-11-03 09:51:00,通常出荷,ORD-2025-0278,C-10024,サンプル顧客S社,P-30014,443,17055500,本社倉庫A,MFG002
SH-202511-0007,2025-11-06 12:50:00,通常出荷,ORD-2025-0291,C-10004,サンプル顧客D社,P-30001,171,718200,本社倉庫B,WHS001
SH-202511-0008,2025-11-13 10:59:00,通常出荷,ORD-2025-0304,C-10018,サンプル顧客O社,P-30006,443,5537500,本社倉庫B,WHS001
SH-202511-0009,2025-11-14 09:59:00,通常出荷,ORD-2025-0317,C-10012,サンプル顧客I社,P-30006,462,5775000,本社倉庫B,WHS001
SH-202511-0010,2025-11-14 18:14:00,通常出荷,ORD-2025-0330,C-10018,サンプル顧客O社,P-30014,307,11819500,本社倉庫A,WHS001
SH-202511-0011,2025-11-19 10:18:00,通常出荷,ORD-2025-0343,C-10021,サンプル顧客P社,P-30006,435,5437500,本社倉庫A,MFG002
SH-202511-0012,2025-11-08 12:13:00,通常出荷,ORD-2025-0356,C-10001,サンプル顧客A社,P-30014,157,6044500,本社倉庫B,WHS001
SH-202511-0013,2025-11-20 16:03:00,通常出荷,ORD-2025-0369,C-10014,サンプル顧客K社,P-30027,453,1902600,本社倉庫A,MFG002
SH-202511-0014,2025-11-09 13:10:00,通常出荷,ORD-2025-0382,C-10006,サンプル顧客F社,P-30014,281,10818500,本社倉庫A,WHS001
SH-202511-0015,2025-11-23 13:36:00,通常出荷,ORD-2025-0395,C-10007,サンプル顧客G社,P-30022,94,120320,本社倉庫A,WHS001
SH-202511-0016,2025-11-15 09:26:00,通常出荷,ORD-2025-0408,C-10004,サンプル顧客D社,P-30020,285,12112500,本社倉庫A,WHS001
SH-202511-0017,2025-11-25 17:58:00,通常出荷,ORD-2025-0421,C-10013,サンプル顧客J社,P-30006,154,1925000,本社倉庫B,WHS001
SH-202511-0018,2025-11-18 16:57:00,通常出荷,ORD-2025-0434,C-10021,サンプル顧客P社,P-30014,92,3542000,本社倉庫B,MFG002
SH-202511-0019,2025-11-16 16:03:00,通常出荷,ORD-2025-0447,C-10023,サンプル顧客R社,P-30011,205,3792500,本社倉庫B,WHS001
SH-202511-0020,2025-11-21 11:32:00,通常出荷,ORD-2025-0460,C-10021,サンプル顧客P社,P-30001,197,827400,東北工場倉庫,WHS001
SH-202511-0021,2025-11-22 15:47:00,通常出荷,ORD-2025-0473,C-10011,サンプル顧客H社,P-30001,308,1293600,本社倉庫B,MFG002
SH-202511-0022,2025-11-21 09:34:00,通常出荷,ORD-2025-0486,C-10002,サンプル顧客B社,P-30006,176,2200000,東北工場倉庫,WHS001
SH-202511-0023,2025-11-14 18:29:00,通常出荷,ORD-2025-0499,C-10022,サンプル顧客Q社,P-30011,360,6660000,本社倉庫A,WHS001
SH-202511-0024,2025-11-27 17:10:00,通常出荷,ORD-2025-0512,C-10024,サンプル顧客S社,P-30006,120,1500000,本社倉庫B,MFG002
SH-202511-0025,2025-11-17 17:43:00,通常出荷,ORD-2025-0525,C-10017,サンプル顧客N社,P-30020,82,3485000,東北工場倉庫,MFG002
SH-202511-0026,2025-11-13 14:07:00,通常出荷,ORD-2025-0538,C-10005,サンプル顧客E社,P-30001,142,596400,本社倉庫B,WHS001
SH-202511-0027,2025-11-12 17:35:00,通常出荷,ORD-2025-0551,C-10022,サンプル顧客Q社,P-30020,225,9562500,本社倉庫B,WHS001
SH-202511-0028,2025-11-10 15:29:00,通常出荷,ORD-2025-0564,C-10003,サンプル顧客C社,P-30022,114,145920,本社倉庫A,MFG002
SH-202511-0029,2025-11-06 17:46:00,通常出荷,ORD-2025-0577,C-10023,サンプル顧客R社,P-30014,494,19019000,東北工場倉庫,WHS001
SH-202511-0030,2025-11-27 15:24:00,通常出荷,ORD-2025-0590,C-10003,サンプル顧客C社,P-30006,120,1500000,東北工場倉庫,WHS001
SH-202511-0031,2025-11-07 18:51:00,通常出荷,ORD-2025-0603,C-10025,サンプル顧客T社,P-30020,205,8712500,本社倉庫B,WHS001
SH-202511-0032,2025-11-10 12:17:00,通常出荷,ORD-2025-0616,C-10005,サンプル顧客E社,P-30001,118,495600,東北工場倉庫,MFG002
SH-202511-0033,2025-11-02 16:59:00,通常出荷,ORD-2025-0629,C-10001,サンプル顧客A社,P-30022,277,354560,本社倉庫A,WHS001
SH-202511-0034,2025-11-15 17:56:00,通常出荷,ORD-2025-0642,C-10004,サンプル顧客D社,P-30014,315,12127500,本社倉庫B,WHS001
SH-202511-0035,2025-11-16 15:52:00,通常出荷,ORD-2025-0655,C-10007,サンプル顧客G社,P-30020,199,8457500,本社倉庫B,WHS001
SH-202511-0036,2025-11-22 08:30:00,通常出荷,ORD-2025-0668,C-10005,サンプル顧客E社,P-30011,301,5568500,東北工場倉庫,MFG002
SH-202511-0037,2025-11-21 11:59:00,通常出荷,ORD-2025-0681,C-10014,サンプル顧客K社,P-30022,277,354560,本社倉庫B,MFG002
SH-202511-0038,2025-11-24 13:51:00,通常出荷,ORD-2025-0694,C-10015,サンプル顧客L社,P-30022,397,508160,本社倉庫A,WHS001
SH-202511-0039,2025-11-23 18:06:00,通常出荷,ORD-2025-0707,C-10022,サンプル顧客Q社,P-30011,251,4643500,本社倉庫B,MFG002
SH-202511-0040,2025-11-29 13:08:00,通常出荷,ORD-2025-0720,C-10018,サンプル顧客O社,P-30022,77,98560,東北工場倉庫,WHS001
SH-202511-0041,2025-11-22 09:03:00,通常出荷,ORD-2025-0733,C-10021,サンプル顧客P社,P-30022,359,459520,本社倉庫A,WHS001
SH-202511-0042,2025-11-27 16:42:00,通常出荷,ORD-2025-0746,C-10023,サンプル顧客R社,P-30027,162,680400,東北工場倉庫,MFG002
SH-202511-0043,2025-11-29 11:12:00,通常出荷,ORD-2025-0759,C-10018,サンプル顧客O社,P-30006,137,1712500,本社倉庫B,WHS001
SH-202511-0044,2025-11-07 11:21:00,通常出荷,ORD-2025-0772,C-10015,サンプル顧客L社,P-30014,394,15169000,東北工場倉庫,MFG002
SH-202511-0045,2025-11-14 14:14:00,通常出荷,ORD-2025-0785,C-10001,サンプル顧客A社,P-30014,430,16555000,東北工場倉庫,MFG002
SH-202511-0046,2025-11-11 17:54:00,通常出荷,ORD-2025-0798,C-10017,サンプル顧客N社,P-30011,451,8343500,本社倉庫B,MFG002
SH-202511-0047,2025-11-19 17:32:00,通常出荷,ORD-2025-0811,C-10014,サンプル顧客K社,P-30001,404,1696800,本社倉庫A,MFG002
SH-202511-0048,2025-11-28 16:14:00,通常出荷,ORD-2025-0824,C-10016,サンプル顧客M社,P-30011,403,7455500,本社倉庫B,WHS001
SH-202511-0049,2025-11-20 18:31:00,通常出荷,ORD-2025-0837,C-10015,サンプル顧客L社,P-30020,463,19677500,東北工場倉庫,WHS001
SH-202511-0050,2025-11-14 11:27:00,通常出荷,ORD-2025-0850,C-10023,サンプル顧客R社,P-30027,128,537600,東北工場倉庫,WHS001
SH-202511-0051,2025-11-17 09:02:00,通常出荷,ORD-2025-0863,C-10005,サンプル顧客E社,P-30011,382,7067000,本社倉庫B,MFG002
SH-202511-0052,2025-11-27 09:56:00,通常出荷,ORD-2025-0876,C-10013,サンプル顧客J社,P-30020,204,8670000,東北工場倉庫,MFG002
SH-202511-0053,2025-11-14 11:38:00,通常出荷,ORD-2025-0889,C-10024,サンプル顧客S社,P-30020,492,20910000,本社倉庫B,WHS001
SH-202511-0054,2025-11-09 18:02:00,通常出荷,ORD-2025-0902,C-10002,サンプル顧客B社,P-30001,138,579600,本社倉庫A,WHS001
SH-202511-0055,2025-11-27 12:33:00,通常出荷,ORD-2025-0915,C-10023,サンプル顧客R社,P-30020,43,1827500,本社倉庫B,WHS001
SH-202511-0056,2025-11-23 14:39:00,通常出荷,ORD-2025-0928,C-10006,サンプル顧客F社,P-30011,197,3644500,本社倉庫B,MFG002
SH-202511-0057,2025-11-13 11:20:00,通常出荷,ORD-2025-0941,C-10016,サンプル顧客M社,P-30022,5,6400,本社倉庫A,MFG002
SH-202511-0058,2025-11-17 18:15:00,通常出荷,ORD-2025-0954,C-10004,サンプル顧客D社,P-30006,215,2687500,本社倉庫B,MFG002
SH-202511-0059,2025-11-06 15:31:00,通常出荷,ORD-2025-0967,C-10016,サンプル顧客M社,P-30020,158,6715000,東北工場倉庫,MFG002
SH-202511-0060,2025-11-08 12:51:00,通常出荷,ORD-2025-0980,C-10024,サンプル顧客S社,P-30001,98,411600,本社倉庫B,WHS001

# 総件数: 60件 / 総出荷金額: (集計はSAP側で実施)
