"key","procedure","control","risk","sample_num"
"ELC-001","取締役会議事録を閲覧し、月次開催実績・出席者・決議事項を確認する。","取締役会は毎月1回開催され、経営成績・重要案件の審議と意思決定を行う。社外取締役3名を含む7名構成。議事録を作成し、監査等委員会へ供覧する。","取締役会による経営監督機能の不十分","12"
"ELC-002","HRシステムから倫理綱領受領確認ログを取得し、全役職員の確認完了を検証する。","倫理綱領を全役職員に周知し、年1回の受領確認書を提出させる。新入社員研修および管理職昇格時研修で説明を実施する。","役職員の倫理意識欠如による不正・違反行為","1"
"ELC-003","職務権限規程R18の原本を閲覧し、承認権限体系・組織構造が定義されていることを確認する。従業員マスタ・SAPロールマトリクスと照合する。","職務権限規程により各階層の承認権限（金額・業務別）を明文化し、定期的に見直す。組織変更時には遅滞なく更新する。","職務権限の曖昧さによる不正・誤謬の発生","25"
"ELC-004","年次リスクアセスメント結果を閲覧し、財務・事業・ITリスクの網羅的評価と対策が記録されていることを確認する。","経営企画部が全社リスクを年1回洗い出し、財務・事業・コンプライアンス等のカテゴリで評価。リスクマップを作成し取締役会へ報告する。","重要リスクの見落としによる対応遅延・損失発生","1"
"ELC-005","全社リスクアセスメント結果から不正リスクファクター（動機・機会・正当化）の評価が含まれていることを確認する。","決算期前に不正リスクファクター（動機・機会・正当化）を検討し、重要拠点・勘定について不正シナリオを評価する。内部監査室と経理部が合同で実施。","財務報告における不正リスクの見落とし","1"
"ELC-006","会社プロファイルの規程体系一覧（R01-R27）を参照し、主要規程が制定・改訂されていることを確認する。","業務関連規程R11-R19を整備し、業務プロセスごとのマニュアルを作成する。規程は最低年1回見直し、改訂履歴を管理する。","業務標準の欠如による不正・誤謬の発生","1"
"ELC-007","SAPロールマトリクスを閲覧し、職務分掌（SoD）違反がないか検証する。PLC-P-002の発注書（不備ケース）を確認する。","発注承認・検収・買掛計上・支払の4プロセスを異なる担当者が行うよう分掌する。SAPのロール設計にSoDルールを組み込み、月次でSoD違反レポートをレビューする。","同一人物による取引の承認・実行・記録が可能な状態","12"
"ELC-008","内部通報受付台帳を閲覧し、通報の受付・調査・完了プロセスが機能していることを確認する。","内部通報窓口（社内・外部弁護士事務所の2ルート）を設置し、全役職員に周知する。通報は総務部長と監査等委員が受領し、調査後の結果を通報者へ報告する。","不正・違反行為の顕在化と是正の遅延","25"
"ELC-009","月次決算ジョブログを閲覧し、期限内に決算処理が完了していることを確認する。","月次決算の速報を翌月第5営業日までに経営会議へ報告する。四半期決算は取締役会・監査等委員会で説明する。","決算情報の伝達遅延による重要事項の見落とし","12"
"ELC-010","年次内部監査計画書を閲覧し、リスクベースの監査テーマ・実施体制が計画されていることを確認する。","内部監査室が年次監査計画に基づき、重要拠点・業務の監査を実施する。発見事項は経営陣および監査等委員会に報告され、是正状況をフォローアップする。","内部統制の独立した検証機能の欠如","1"
"ELC-011","取締役会議事録および内部通報台帳から、監査等委員会への報告が行われていることを確認する。","監査等委員会（社外委員3名）は月1回開催。内部監査・会計監査・法令遵守の状況をレビューし、取締役会へ意見表明する。","経営監督機能の形骸化","12"
"ELC-012","会社プロファイルのIT構成情報およびSOC1レポートから、IT戦略・セキュリティ方針が策定・評価されていることを確認する。","情報セキュリティ基本方針を定め、年1回取締役会で承認。情シス部が年次IT計画を作成し、経営会議で進捗をレビューする。","ITガバナンス不備による情報漏洩・システム障害","1"
"PLC-S-001","SAP VA05受注一覧から25件を系統抽出し、各受注の与信チェックログ・ワークフロー承認履歴・注文書原本を突合する。与信超過案件は営業本部長承認の有無を検証する。","営業担当者が受注登録時、SAPにて顧客コードを入力すると自動的に与信限度額との比較が行われる。与信オーバーの場合はワークフローにより営業本部長（E0021）の個別承認が必須となる。承認記録はSAPに保存される。","権限のない者による受注登録、または与信枠を超過する受注の受理により、売掛金の回収不能リスクが顕在化する。","25"
