"doc_id","area","subarea","layer","doc_name","doc_type","owner_dept","file_format","related_controls","fills","existing","completeness","priority","status","files"
"G-01","共通基盤","方針","L1","財務報告に係る内部統制の基本方針（取締役会決議）","方針","総務部","PDF","ELC-001","統制の内容／統制主体","なし","完備","A","生成済","00_common/G-01_財務報告に係る内部統制の基本方針_v3.1_20240401.pdf"
"G-02","共通基盤","規程管理","L4","規程体系図・規程管理台帳（R01-R37）","台帳","総務部","xlsx","ELC-006","関連規程／統制の内容","なし","完備","A","生成済","00_common/G-02_規程体系図・規程管理台帳_v2026.03_20260331.xlsx"
"G-03","共通基盤","組織","L0","詳細組織図（課・グループ単位／FY2025期首・期末）","図表","人事部","PDF+xlsx","ELC-003","統制主体／関連部署","なし","完備","A","生成済","00_common/G-03_詳細組織図_v2025.10_20251001.pdf | 00_common/G-03_部門・課マスタ_v2025.10_20251001.xlsx"
"G-04","共通基盤","組織","L1","業務分掌規程・部門別業務分掌表","規程+表","総務部","PDF+xlsx","ELC-003","統制主体／関連部署／業務の目的","なし","完備","A","生成済","00_common/G-04_業務分掌規程_v4.0_20240401.pdf | 00_common/G-04_部門別業務分掌表_v2025.10_20251001.xlsx"
"G-05","共通基盤","権限","L3","決裁権限一覧表（R18別表：金額基準テーブル）","様式","総務部","xlsx","ELC-003 / 全PLC","承認・レビュー／統制主体","R18本体PDFのみ既存（0.profile）","部分","A","生成済","00_common/G-05_決裁権限一覧表_R18別表1_v8.0_20240401.xlsx"
"G-06","共通基盤","体制","L4","財務報告プロセスオーナー一覧（プロセス×責任者×バックアップ）","台帳","経理部","xlsx","ELC-003","統制主体","実績CSVあり（4.evidence/ELC）","完備","A","生成済","00_common/G-06_財務報告プロセスオーナー一覧_v2026.03_20260331.xlsx"
"G-07","共通基盤","評価範囲","L3","J-SOX評価範囲決定資料（重要な事業拠点・勘定科目・プロセス選定）","ワークシート","内部監査室","xlsx","ELC-004","キーコントロール判定／対象範囲","なし","完備","A","生成済","00_common/G-07_J-SOX評価範囲決定資料_FY2025_20250515.xlsx"
"G-08","共通基盤","財務数値","L0","財務諸表・勘定科目別残高一覧（FY2024/FY2025、単体・連結）","資料","経理部","xlsx","全般","関連勘定科目／アサーション／重要性","なし","完備","A","生成済","00_common/G-08_財務諸表・勘定科目別残高一覧_FY2025_20260331.xlsx"
"G-09","共通基盤","IT","L0","財務報告関連システム構成図・データフロー図（S01-S07）","図表","情報システム部","PDF","ITGC / ITAC","使用システム／手作業・IT自動の別","なし","完備","A","生成済","00_common/G-09_財務報告関連システム構成図・データフロー図_v2025.04_20250401.pdf"
"G-10","共通基盤","帳票","L4","帳票・様式一覧（フォーム番号体系）","台帳","総務部","xlsx","全般","使用帳票／統制の証跡","なし","完備","B","生成済","00_common/G-10_帳票・様式一覧_v2026.03_20260331.xlsx"
