# SAP SM20 - 特権ID(BASIS/ALL_READ)操作ログ
# 対象ユーザ: IT001 岡田 宏、IT002 吉田 雅彦
# 対象期間: 2025/11/01 ～ 2025/11/30
# 出力日時: 2025/12/05 08:30 / 出力者: IT001 岡田 宏（月次レビュー）

タイムスタンプ,ユーザID,トランザクション,対象,結果,承認事前申請
2025-11-03 09:15:22,IT002,RZ20,システム監視,正常,恒常業務・申請不要
2025-11-05 14:22:18,IT001,SM37,バッチジョブ確認,正常,恒常業務
2025-11-07 10:45:33,IT002,SM51,サーバ起動停止,正常,申請WF-IT-2025-098
2025-11-12 16:10:08,IT002,DB13,DBバックアップ確認,正常,恒常業務
2025-11-15 11:22:45,IT001,SM59,RFC接続テスト,正常,申請WF-IT-2025-102
2025-11-18 13:05:12,IT002,SE38,ABAP実行,正常,申請WF-IT-2025-105
2025-11-22 09:30:28,IT002,RZ10,プロファイル確認,正常,恒常業務
2025-11-25 15:48:55,IT001,SU01,ユーザマスタ確認,正常,棚卸のため
2025-11-28 10:12:40,IT002,STMS,移送管理,正常,変更REL-2025-067

# 件数: 9件 / すべて承認済または恒常業務
# 情シス部長レビュー: 岡田 宏 [印] 2025/12/05 / 異常なし
