# SAP S/4HANA - Transaction ME2N
# Report:   Purchase Order List by Vendor
# Export:   2026-02-12 14:45:08 JST
# Filter:   25 samples under audit IA-REQ-2026-P002

サンプル№,発注番号,発注日,仕入先コード,仕入先名,品目分類,発注金額,承認者,承認者上限,承認ルート,ステータス,備考
1,PO-2025-2130,2026-03-01,V-20024,サンプル仕入先S社,外注加工(研削),1425000,林 真由美 (PUR002),5000000,担当→課長,承認済,
2,PO-2025-2260,2025-05-09,V-20024,サンプル仕入先S社,外注加工(研削),1092000,林 真由美 (PUR002),5000000,担当→課長,承認済,
3,PO-2025-2390,2025-09-01,V-20023,サンプル仕入先R社,外注加工(プレス),1820000,林 真由美 (PUR002),5000000,担当→課長,承認済,
4,PO-2025-2520,2026-01-17,V-20024,サンプル仕入先S社,外注加工(研削),386000,清水 智明 (PUR003),1000000,担当→課長,承認済,
5,PO-2025-2650,2025-12-01,V-20009,サンプル仕入先I社,原材料(鉛材),182000,清水 智明 (PUR003),1000000,担当→課長,承認済,
6,PO-2025-2780,2025-08-13,V-20012,サンプル仕入先L社,原材料(チタン),824400,清水 智明 (PUR003),1000000,担当→課長,承認済,
7,PO-2025-2910,2025-10-16,V-20021,サンプル仕入先P社,外注加工(金型),134400,清水 智明 (PUR003),1000000,担当→課長,承認済,
8,PO-2025-3040,2025-12-02,V-20024,サンプル仕入先S社,外注加工(研削),385000,清水 智明 (PUR003),1000000,担当→課長,承認済,
9,PO-2025-3170,2026-02-18,V-20011,サンプル仕入先K社,原材料(亜鉛),237000,清水 智明 (PUR003),1000000,担当→課長,承認済,
10,PO-2025-3300,2025-07-17,V-20011,サンプル仕入先K社,原材料(亜鉛),25510600,渡辺 正博 (CFO001),100000000,担当→課長→部長,承認済,
11,PO-2025-3430,2025-04-17,V-20005,サンプル仕入先E社,原材料(鋼材),5005000,木村 浩二 (PUR001),20000000,担当→課長→部長,承認済,
12,PO-2025-3560,2025-04-15,V-20011,サンプル仕入先K社,原材料(亜鉛),18798200,木村 浩二 (PUR001),20000000,担当→課長→部長,承認済,
13,PO-2025-3690,2025-10-09,V-20012,サンプル仕入先L社,原材料(チタン),4235000,林 真由美 (PUR002),5000000,担当→課長,承認済,
14,PO-2025-3820,2026-03-05,V-20012,サンプル仕入先L社,原材料(チタン),385000,清水 智明 (PUR003),1000000,担当→課長,承認済,
15,PO-2025-3950,2026-02-20,V-20004,サンプル仕入先D社,原材料(鋼材),458000,清水 智明 (PUR003),1000000,担当→課長,承認済,
16,PO-2025-4080,2025-07-06,V-20006,サンプル仕入先F社,原材料(銅材),20405000,渡辺 正博 (CFO001),100000000,担当→課長→部長,承認済,
17,PO-2025-4210,2026-01-15,V-20012,サンプル仕入先L社,原材料(チタン),1540000,林 真由美 (PUR002),5000000,担当→課長,承認済,
18,PO-2025-4340,2025-04-07,V-20006,サンプル仕入先F社,原材料(銅材),182000,清水 智明 (PUR003),1000000,担当→課長,承認済,
19,PO-2025-4470,2026-03-13,V-20023,サンプル仕入先R社,外注加工(プレス),1923600,林 真由美 (PUR002),5000000,担当→課長,承認済,
20,PO-2025-4600,2025-12-05,V-20003,サンプル仕入先C社,原材料(鋼材),15400000,木村 浩二 (PUR001),20000000,担当→課長→部長,承認済,
21,PO-2025-4730,2025-11-21,V-20001,サンプル仕入先A社,原材料(鋼材),4047000,林 真由美 (PUR002),5000000,担当→課長,承認済,
22,PO-2025-4860,2025-06-26,V-20010,サンプル仕入先J社,原材料(アルミ),1540000,林 真由美 (PUR002),5000000,担当→課長,承認済,
23,PO-2025-0234,2025-09-12,V-20002,サンプル仕入先B社,原材料(鋼材),680000,清水 智明 (PUR003),500000,担当→課長,承認済(要検討),※権限外承認：PUR003はPO_APPROVE権限なし
24,PO-2025-0789,2025-10-03,V-20008,サンプル仕入先H社,原材料(特殊合金),1250000,山田 純一 (PUR004),500000,担当→課長,承認済(要検討),※上限50万円超：PUR004が上限超え承認
25,PO-2025-1456,2025-11-08,V-20004,サンプル仕入先D社,原材料(鋼材),7850000,林 真由美 (PUR002),5000000,担当→課長→部長,承認済(要検討),※課長上限500万円超の¥7.85M承認

# Records: 25 (including 3 deficient cases)
