# SAP S/4HANA - Transaction VA05
# Report:     Sales Orders Detail
# Export:     2026-02-10 11:20:15 JST
# Filter:     Sample 25 orders per audit request IA-REQ-2026-001
# Records:    25

サンプル№,受注番号,受注日,受注タイプ,顧客コード,顧客名,営業担当,受注金額,与信限度額,与信チェック結果,承認区分,ワークフロー番号
1,ORD-2025-0230,2025-04-02,通常受注,C-10021,サンプル顧客P社,藤田 修 (SLS003),1260000,200000000,○ 限度内,自動承認,
2,ORD-2025-0360,2025-04-25,通常受注,C-10024,サンプル顧客S社,藤田 修 (SLS003),2750000,50000000,○ 限度内,自動承認,
3,ORD-2025-0490,2025-04-26,通常受注,C-10012,サンプル顧客I社,井上 大輔 (SLS005),1280000,250000000,○ 限度内,自動承認,
4,ORD-2025-0620,2025-05-07,通常受注,C-10013,サンプル顧客J社,井上 大輔 (SLS005),7700000,180000000,○ 限度内,自動承認,
5,ORD-2025-0750,2025-05-25,通常受注,C-10005,サンプル顧客E社,斎藤 次郎 (SLS002),825000,100000000,○ 限度内,自動承認,
6,ORD-2025-0880,2025-06-03,通常受注,C-10024,サンプル顧客S社,藤田 修 (SLS003),11550000,50000000,○ 限度内,自動承認,
7,ORD-2025-1010,2025-06-28,通常受注,C-10007,サンプル顧客G社,斎藤 次郎 (SLS002),210000,50000000,超過（保留）,営業本部長承認,WF-2025-03077
8,ORD-2025-1140,2025-07-13,通常受注,C-10017,サンプル顧客N社,松本 香織 (SLS004),1250000,60000000,○ 限度内,自動承認,
9,ORD-2025-1270,2025-07-18,通常受注,C-10002,サンプル顧客B社,藤田 修 (SLS003),420000,300000000,○ 限度内,自動承認,
10,ORD-2025-1400,2025-08-06,通常受注,C-10021,サンプル顧客P社,斎藤 次郎 (SLS002),6300000,200000000,○ 限度内,自動承認,
11,ORD-2025-1530,2025-08-26,通常受注,C-10005,サンプル顧客E社,松本 香織 (SLS004),4125000,100000000,○ 限度内,自動承認,
12,ORD-2025-1660,2025-09-14,通常受注,C-10004,サンプル顧客D社,斎藤 次郎 (SLS002),1260000,150000000,○ 限度内,自動承認,
13,ORD-2025-1790,2025-09-24,通常受注,C-10007,サンプル顧客G社,斎藤 次郎 (SLS002),1024000,50000000,○ 限度内,自動承認,
14,ORD-2025-1920,2025-10-12,通常受注,C-10025,サンプル顧客T社,井上 大輔 (SLS005),30800000,30000000,超過（保留）,営業本部長承認,WF-2025-03154
15,ORD-2025-2050,2025-10-19,通常受注,C-10018,サンプル顧客O社,井上 大輔 (SLS005),14800000,40000000,○ 限度内,自動承認,
16,ORD-2025-2180,2025-11-21,通常受注,C-10013,サンプル顧客J社,藤田 修 (SLS003),1024000,180000000,○ 限度内,自動承認,
17,ORD-2025-2310,2025-11-25,通常受注,C-10013,サンプル顧客J社,斎藤 次郎 (SLS002),2500000,180000000,○ 限度内,自動承認,
18,ORD-2025-2440,2025-12-13,通常受注,C-10012,サンプル顧客I社,斎藤 次郎 (SLS002),640000,250000000,○ 限度内,自動承認,
19,ORD-2025-2570,2025-12-25,通常受注,C-10004,サンプル顧客D社,藤田 修 (SLS003),275000,150000000,○ 限度内,自動承認,
20,ORD-2025-2700,2026-01-07,通常受注,C-10007,サンプル顧客G社,井上 大輔 (SLS005),1920000,50000000,○ 限度内,自動承認,
21,ORD-2025-2830,2026-01-19,通常受注,C-10018,サンプル顧客O社,松本 香織 (SLS004),1260000,40000000,○ 限度内,自動承認,
22,ORD-2025-2960,2026-02-02,通常受注,C-10003,サンプル顧客C社,藤田 修 (SLS003),4125000,200000000,超過（保留）,営業本部長承認,WF-2025-03242
23,ORD-2025-3090,2026-02-20,通常受注,C-10018,サンプル顧客O社,斎藤 次郎 (SLS002),2500000,40000000,○ 限度内,自動承認,
24,ORD-2025-3220,2026-03-01,通常受注,C-10012,サンプル顧客I社,井上 大輔 (SLS005),2100000,250000000,○ 限度内,自動承認,
25,ORD-2025-3350,2026-03-24,通常受注,C-10021,サンプル顧客P社,松本 香織 (SLS004),1375000,200000000,○ 限度内,自動承認,

# End of export
