# SAP Controlling (CO) - Transaction CO88
# Report:   Variance Calculation Results (Settlement)
# Sampling: 3 representative months out of FY2025 (12 months population)
# Export:   2026-02-14 11:00:08 JST

対象月,費目分類,標準原価(円),実際原価(円),差異(円),差異率
2025-07,材料費直接,125800000,128607880,2807880,2.23%
2025-07,労務費直接,48500000,48938690,438690,0.90%
2025-07,製造間接費,62000000,63621064,1621064,2.61%
2025-07,外注加工費,18500000,19539478,1039478,5.62%
2025-07,能率差異,0,1379361,1379361,N/A
2025-07,配賦差異,0,1087341,1087341,N/A
2025-10,材料費直接,125800000,131197448,5397448,4.29%
2025-10,労務費直接,48500000,51030978,2530978,5.22%
2025-10,製造間接費,62000000,61838054,-161946,-0.26%
2025-10,外注加工費,18500000,19361297,861297,4.66%
2025-10,能率差異,0,470016,470016,N/A
2025-10,配賦差異,0,-182568,-182568,N/A
2026-01,材料費直接,125800000,132630022,6830022,5.43%
2026-01,労務費直接,48500000,50731083,2231083,4.60%
2026-01,製造間接費,62000000,66292878,4292878,6.92%
2026-01,外注加工費,18500000,19099188,599188,3.24%
2026-01,能率差異,0,1709134,1709134,N/A
2026-01,配賦差異,0,704129,704129,N/A

# Records: 18 (6 categories x 3 months)
